rut_autor,nombre_autor,correo_autor,rol_autor,usuario_autor,contraseña_autor
480682319,Oscar Chávez,eduardogarrido@example.net,,oscar4806,1756586150864d7e82ef95ae5124352a
399298679,Rodrigo Jason Riquelme Araya,natalia53@example.com,,rodrigo3992,79eabf3e7d6f4471b73b94d38e5811a5
374593773,Ana García,alonso97@example.net,,ana3745,5a3b235212c34b0aa4a1fc035f3c3728
677821736,Hernán Luengo Reyes,scarlett36@example.org,,hernán6778,7e0a4eb011e24a00b88ccd60ce20eed5
19153215,Jessica María Jiménez Meza,alain68@example.com,,jessica1915,084010ee98104344bc04b104d4e57287
943349053,Flor Figueroa López,mariagonzalez@example.net,,flor9433,8422ca45d2cf442a97fbbf4a32275b5f
304387807,Maritza María Vásquez Aguayo,jaime57@example.net,,maritza3043,325d4cab4e3d4689a3079a045a593946
309309502,Katherine Maribel Guajardo Parada,xorellana@example.org,,katherine3093,ede9decbd40a4dd6b559a9ee0524cd39
852960485,Joaquín Andrade Mendoza,elianacastillo@example.org,,joaquín8529,2b27fcd68baf482eb3acb0bd810b132a
549598676,Esteban Ávila López,leonardo59@example.net,,esteban5495,2e0b2177eb3a473ea54528b0e38f0d43
2626488K,Viviana Margarita Guajardo Flores,catalanisaac@example.net,,viviana2626,6253c8b220ac4ef7ae30fe4ca9579f39
953425289,Ana Bravo Hernández,ramon50@example.org,,ana9534,1cac4577a80940a5aaf80baa3692ac3d
142834979,José Dilan Salas Briceño,fierropablo@example.net,,josé1428,ec3e32aa9d26413b830f2ebf5bdac22a
213198033,Cristóbal Pedro Ovalle Guerrero,guillermobaez@example.org,,cristóbal2131,0c9b382cc7904fc189a7e18dab14369c
66170047,Ida María Bravo Becerra,lalvarado@example.org,,ida6617,726f7ceac40646c8976f2652dc8aba11
94100011,Viviana López Ojeda,carolina54@example.net,,viviana9410,aca0e3511e344e8c8712727389715ac9
475767K,Elvira María Ibacache Jara,alexandergomez@example.net,,elvira4757,a1d49ee440b342e0bbb39460e57b5e37
